index,stateId,typeId,stateName,itemName,ingredients,preparation
1,1,1,Andhra Pradesh,Chicken Curry,"Chicken pieces, onions, tomatoes, ginger, garlic, green chili peppers, curry leaves, spices (such as turmeric powder, coriander powder, cumin powder, red chili powder), oil, salt, water, cilantro leaves for garnish.","Start by marinating chicken pieces in a mixture of yogurt, turmeric powder, red chili powder, and salt, allowing it to marinate for at least 30 minutes. In a pan, heat oil and temper mustard seeds, cumin seeds, curry leaves, and dried red chilies until they release their aroma. Then, add finely chopped onions and saute until golden brown before adding ginger-garlic paste and cooking until fragrant. Incorporate finely chopped tomatoes, cooking until softened. Add the marinated chicken along with any remaining marinade, ensuring it's evenly coated with the masala mixture. Let the chicken cook on medium heat until tender, adjusting seasoning as needed. Finally, garnish with fresh coriander leaves and serve hot with rice or roti ."
2,1,0,Andhra Pradesh,Pulihora," Rice, tamarind pulp, green chili peppers, curry leaves, peanuts, mustard seeds, cumin seeds, turmeric powder, salt, oil.","Start by cooking one cup of rice until each grain is soft and separate. While the rice is cooking, prepare the tamarind paste by soaking a lemon-sized ball of tamarind in warm water for about 15-20 minutes, then extract the pulp and strain it. In a pan, heat oil and add mustard seeds, chana dal, urad dal, dried red chilies, curry leaves, green chilies (optional), turmeric powder, and asafoetida, and sauté until fragrant. Then, add the tamarind pulp, salt, and cook until the mixture thickens. Once the rice and tamarind mixture are cooled, gently mix them together until the rice is evenly coated. In a separate pan, prepare the tempering by heating oil, adding mustard seeds, chana dal, urad dal, dried red chilies, curry leaves, and asafoetida, and frying until golden brown. Pour the tempering over the prepared Pulihora, mix gently, and let the flavors meld before serving. Pulihora is a tangy and flavorful dish that can be enjoyed on its own or paired with accompaniments like yogurt or pickle."
3,1,1,Andhra Pradesh,Gongura Pachadi,"Gongura leaves (sorrel leaves), green chili peppers, onions, garlic, mustard seeds, cumin seeds, fenugreek seeds, turmeric powder, salt, oil.","Start by thoroughly washing the gongura leaves and removing any tough stems. Heat a tablespoon of oil in a pan and add the gongura leaves along with chopped green chilies and garlic cloves. Sauté them until the leaves wilt and the raw smell disappears. Allow this mixture to cool. In a separate pan, heat the remaining oil and add mustard seeds, cumin seeds, urad dal, chana dal, dried red chilies, and a pinch of asafoetida. Fry until the dal turns golden brown and the seeds splutter. Let this tempering cool down. Once both mixtures are cooled, grind them together along with soaked tamarind and salt to a coarse paste. Adjust the consistency by adding water if needed. Your Gongura Pachadi is now ready to be served! This tangy and spicy chutney pairs perfectly with hot rice and ghee."
4,1,1,Andhra Pradesh,Fish Curry,"Fish (such as rohu or catfish), onions, tomatoes, ginger, garlic, green chili peppers, curry leaves, spices (such as turmeric powder, coriander powder, red chili powder), tamarind pulp, salt, oil, cilantro leaves for garnish.","Start by marinating the fish pieces with a pinch of turmeric powder and salt. Let them sit for about 15-20 minutes. Meanwhile, heat oil in a deep pan or kadhai. Add mustard seeds and fenugreek seeds. Once they start to splutter, add chopped onions and sauté until they turn golden brown. Then, add minced garlic, ginger, slit green chilies, and curry leaves. Sauté until the raw smell disappears. Now, add chopped tomatoes and cook until they turn mushy. Extract the pulp from the soaked tamarind and add it to the pan along with turmeric powder, red chili powder, coriander powder, and cumin powder. Mix well and let it simmer for a few minutes until the raw smell of the spices goes away. Add water to achieve the desired consistency of the curry. Once the curry comes to a gentle boil, add the marinated fish pieces carefully. Cook on medium heat until the fish is cooked through and the curry thickens slightly. Adjust salt if necessary. Garnish with fresh coriander leaves. Serve hot with steamed rice or roti.
"
5,1,1,Andhra Pradesh,Chicken Biryani,"Chicken pieces, basmati rice, onions, tomatoes, ginger-garlic paste, green chili peppers, yogurt, spices (such as turmeric powder, biryani masala, garam masala), mint leaves, cilantro leaves, saffron, milk, ghee (clarified butter), oil, salt.","Start by washing and soaking the basmati rice in water for about 30 minutes. Meanwhile, marinate the chicken pieces with yogurt, ginger-garlic paste, red chili powder, turmeric powder, half of the sliced onions, half of the chopped tomatoes, half of the mint leaves, half of the coriander leaves, and salt. Let it marinate for at least 30 minutes. In a large pot, heat ghee and oil. Add the remaining sliced onions and fry until golden brown. Remove half of the fried onions and set aside for garnishing. To the remaining onions in the pot, add bay leaves, cinnamon sticks, cardamom pods, and cloves. Sauté for a minute. Add the marinated chicken along with the marinade and cook until the chicken is partially cooked. In another pot, boil water and add the soaked rice along with salt. Cook the rice until it's 70% done. Drain the excess water and spread half of the cooked rice over the partially cooked chicken layer. Sprinkle some garam masala powder, saffron milk, and the remaining mint and coriander leaves. Layer the remaining rice on top. Sprinkle the remaining saffron milk and fried onions. Cover the pot with a tight-fitting lid and cook on low heat for about 20-25 minutes or until the chicken is fully cooked and the rice is tender. Once done, gently fluff up the biryani and serve hot with raita or salan."
6,1,0,Andhra Pradesh,Bobbatlu,"Chana dal (Bengal gram lentils), jaggery (or sugar), all-purpose flour (maida), ghee (clarified butter), cardamom powder.","Start by rinsing the chana dal thoroughly and then soaking it in water for about 3-4 hours. After soaking, drain the water and pressure cook the chana dal until it becomes soft and mushy. Once cooked, drain any excess water and let the dal cool down. In a separate pan, heat a tablespoon of ghee and add the grated jaggery. Cook it on low heat until the jaggery melts completely and forms a thick syrup-like consistency. Add the cooked chana dal to the jaggery syrup along with cardamom powder and mix well. Cook this mixture until it thickens and forms a cohesive filling. Once done, allow it to cool down. Meanwhile, prepare the dough by mixing all-purpose flour, a pinch of salt, and enough water to form a soft and pliable dough. Divide the dough and the filling into equal-sized balls. Roll out each dough ball into a small circle, place a filling ball in the center, and seal the edges carefully, ensuring there are no gaps. Flatten the stuffed dough ball gently using your palms or a rolling pin to form a disc-like shape. Heat a griddle or tawa and cook the Bobbatlu on both sides until they turn golden brown, applying ghee as needed. Repeat the process for the remaining dough and filling. Serve the warm and delicious Bobbatlu as a dessert or snack."
7,1,0,Andhra Pradesh,Pesarattu,"Whole green gram (moong dal), rice, green chili peppers, ginger, cumin seeds, salt, oil.","Start by rinsing the green gram and rice thoroughly and then soaking them together in water for about 4-6 hours. Once soaked, drain the water and transfer the green gram and rice to a blender. Add chopped ginger, green chilies, cumin seeds, and salt. Blend the mixture into a smooth batter, adding water as needed to achieve the desired consistency. The batter should be of pouring consistency, similar to dosa batter. Heat a non-stick skillet or dosa tawa over medium heat. Once hot, pour a ladleful of the batter onto the center of the skillet and spread it evenly into a thin circle using the back of the ladle. Drizzle a teaspoon of oil around the edges of the pesarattu and let it cook for 1-2 minutes until the bottom turns golden brown and crisp. Flip the pesarattu and cook the other side for another minute. Once both sides are cooked to a golden brown color, transfer the pesarattu to a plate and repeat the process with the remaining batter. Serve the hot and crispy pesarattu with coconut chutney, ginger chutney, or allam pachadi (ginger pickle) for a delicious and nutritious breakfast or snack."
8,1,0,Andhra Pradesh,Aratikaya Bajji,"Raw banana (plantain), chickpea flour (besan), rice flour, chili powder, baking soda, salt, oil for deep frying.","Start by peeling the raw bananas and slicing them into thin round slices. In a mixing bowl, combine gram flour, rice flour, red chili powder, turmeric powder, baking soda, and salt. Add water gradually to make a smooth and thick batter, ensuring there are no lumps. The consistency of the batter should be thick enough to coat the banana slices well. Heat oil in a deep frying pan or kadhai over medium heat. Once the oil is hot, dip the banana slices into the prepared batter, ensuring they are well coated on all sides. Carefully drop the coated banana slices into the hot oil one by one. Fry them in batches, making sure not to overcrowd the pan. Fry the bajjis until they turn golden brown and crisp on all sides, flipping them occasionally for even cooking. Once done, remove the bajjis from the oil using a slotted spoon and drain them on paper towels to remove excess oil. Serve the hot and crispy Aratikaya Bajji immediately with your favorite chutney or sauce. Enjoy this delicious snack with a hot cup of tea or coffee!"
9,1,1,Andhra Pradesh,Ulavacharu,"Horse gram lentils, tamarind pulp, onions, tomatoes, garlic, green chili peppers, curry leaves, spices (such as turmeric powder, coriander powder, red chili powder), salt, oil.","Start by rinsing the horse gram thoroughly and then soaking it in water for about 4-6 hours or overnight. Once soaked, drain the water and pressure cook the horse gram with fresh water until it becomes soft and mushy. Meanwhile, extract the pulp from the soaked tamarind and keep it aside. In a separate pan, heat oil and add mustard seeds and cumin seeds. Once they start to splutter, add dry red chilies, chopped onions, crushed garlic, chopped ginger, and curry leaves. Sauté until the onions turn golden brown. Then, add chopped tomatoes and cook until they turn soft and mushy. Add turmeric powder, red chili powder, coriander powder, and salt. Mix well and cook for a couple of minutes. Add the cooked horse gram along with its water to the pan. Also, add the tamarind pulp and adjust the consistency by adding more water if needed. Let the mixture simmer for about 10-15 minutes on low heat, allowing the flavors to blend together. Once done, garnish with fresh coriander leaves. Serve hot Ulavacharu with steamed rice or idlis for a comforting and nutritious meal."
10,1,0,Andhra Pradesh,Gutti Vankaya Curry,"Baby eggplants, onions, tomatoes, peanuts, sesame seeds, coconut, ginger-garlic paste, spices (such as turmeric powder, coriander powder, red chili powder, garam masala), tamarind pulp, salt, oil, cilantro leaves for garnish.","Start by washing the brinjals and making a ""+"" slit at the base without cutting through. In a mixing bowl, combine roasted and powdered peanuts, sesame seeds, grated dry coconut, turmeric powder, red chili powder, coriander powder, cumin powder, tamarind paste, jaggery or sugar, and salt. Stuff this mixture into the brinjals evenly. Heat oil in a deep pan or kadhai and add mustard seeds and cumin seeds. Once they start to splutter, add curry leaves and a pinch of asafoetida. Then, add chopped onions and slit green chilies. Sauté until the onions turn translucent. Carefully place the stuffed brinjals in the pan, ensuring they are in a single layer. Cover and cook on low heat for about 10-15 minutes, occasionally turning the brinjals gently to ensure even cooking. Once the brinjals are cooked through and tender, garnish with fresh coriander leaves. Serve hot Gutti Vankaya Curry with rice or roti for a delicious and satisfying meal."
